Analysis,Author,Year,Trait Type,Species,Genus,Family,Order,Plant Species,Genus,Family,Order,n,t = trait means,S=trait standard deviations,R = # Species relative abundances,Link,OTHER LINK,Reference,Mutualism_type,Trait,Included in redundancy analysis,Source,Data Reported,Statistics Reported,Field/Experimental/Observational,,,,,,,
1A,Orivel et al,2017,Trait A. Herbivory,A. decemarticulatus,Allomerus,Myrmicinae,Hymenoptera,Hirtella physophora,Hirtella,Chrysobalanaceae,Malpighiales,398,1.606,0.808,0.682,https://royalsocietypublishing.org/doi/10.1098/rspb.2016.1679,https://royalsocietypublishing.org/doi/10.1098/rspb.2016.1679,"Orivel, J., Malé, P. J., Lauth, J., Roux, O., Petitclerc, F., Dejean, A., & Leroy, C. (2017). Trade-offs in an ant-plant-fungus mutualism. Proceedings. Biological sciences, 284(1850), 20161679. https://doi.org/10.1098/rspb.2016.1679",Plant Protection,Herbivory,YES,Figure 2a,Raw data,Z-value,Field experimental,,,,,,,
1A,Orivel et al,2017,Trait A. Herbivory,A. octoarticulatus,Allomerus,Myrmicinae,Hymenoptera,Hirtella physophora,Hirtella,Chrysobalanaceae,Malpighiales,185,1.070,0.866,0.318,https://royalsocietypublishing.org/doi/10.1098/rspb.2016.1679,https://royalsocietypublishing.org/doi/10.1098/rspb.2016.1679,"Orivel, J., Malé, P. J., Lauth, J., Roux, O., Petitclerc, F., Dejean, A., & Leroy, C. (2017). Trade-offs in an ant-plant-fungus mutualism. Proceedings. Biological sciences, 284(1850), 20161679. https://doi.org/10.1098/rspb.2016.1679",Plant Protection,Herbivory,YES,Figure 2a,Raw data,Z-value,Field experimental,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Ectatomma muticum,Ectatomma,Ectatomminae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,15,2.318,1.549,0.088,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Pheidole radoskowskii,Pheidole,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,51,0.192,0.305,0.300,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Pheidole sp.B (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,9,0.111,0.046,0.053,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Pheidole sp.C (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,7,0.386,0.532,0.041,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Pheidole sp.D (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,11,0.086,0.060,0.065,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Pheidole sp.E (Oliveira),Pheidole,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,18,0.063,0.028,0.106,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Solenopsis tridens,Solenopsis,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,40,0.090,0.056,0.235,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
2A,Oliveira et al,2019,Host A. (Croton nepetifolus) Dispersal distance (m),Solenopsis virullens,Solenopsis,Myrmicinae,Hymenoptera,Croton nepetifolus,Croton,Euphorbiaceae,Malpighiales,19,0.177,0.222,0.112,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12979,"Oliveira, Fernanda & Andersen, Alan & Arnan, Xavier & Ribeiro Neto, José & Arcoverde, Gabriela & Leal, Inara. (2019). Effects of increasing aridity and chronic anthropogenic disturbance on seed dispersal by ants in Brazilian Caatinga. Journal of Animal Ecology. 88. 10.1111/1365-2656.12979.",Seed Dispersal,Dispersal Distance,YES,Maintext,Raw data,"Mean, se, sd",Field observational,,,,,,,
