Supplementary Table 9. Pairwise comparison of AA similarity acros Picorna-like viruses,,,,,
Species 1,Species 2,Names 1,Names 2,disimilarity,similarity
AV-A1,SINV-17,Aquamavirus A1, Solenopsis invicta virus 17,1,0
ArMV,SINV-17,Arabis mosaic virus, Solenopsis invicta virus 17,1,0
CPMV,SINV-17,Cowpea mosaic virus, Solenopsis invicta virus 17,1,0
FMDV-O1K,SINV-17,Foot and mouth disease virus, Solenopsis invicta virus 17,1,0
IFV,SINV-17,Infectious flacherie virus, Solenopsis invicta virus 17,1,0
AoV-8,SINV-17,Putative A. octoarticulatus virus 7 (g3814 i0), Solenopsis invicta virus 17,1,0
PaV-1,SINV-17,Pasivirus A1, Solenopsis invicta virus 17,1,0
LimV-A1,SINV-17,Limnipivirus A1, Solenopsis invicta virus 17,1,0
STV9,SINV-17,Soybean thrips iflavirus 9, Solenopsis invicta virus 17,1,0
PNV,SINV-17,Perina nuda virus, Solenopsis invicta virus 17,1,0
TuASV,SINV-17,Turkey avisivirus, Solenopsis invicta virus 17,1,0
BatIV,SINV-17,Bat iflavirus (Yinda et al. 2016), Solenopsis invicta virus 17,1,0
SINV-11,SINV-17, Solenopsis invicta virus 11, Solenopsis invicta virus 17,1,0
BBV,SINV-17,Brevicoryne brassicae virus, Solenopsis invicta virus 17,1,0
SBV,SINV-17,Sacbrood virus, Solenopsis invicta virus 17,1,0
VdV-1,SINV-17,Varroa destructor virus 1, Solenopsis invicta virus 17,1,0
BQCV,SINV-17,Black queen cell virus, Solenopsis invicta virus 17,1,0
SEIV-2,SINV-17,Spodoptera exigua iflavirus 2, Solenopsis invicta virus 17,1,0
SV-NG-J1,SINV-17,Salivirus NG-J1, Solenopsis invicta virus 17,1,0
AiV-1,SINV-17,Aichi virus 1, Solenopsis invicta virus 17,1,0
NLHV-1,SINV-17,Nilaparvata lugens honeydew virus 1, Solenopsis invicta virus 17,1,0
SEIV-1,SINV-17,Spodoptera exigua iflavirus 1, Solenopsis invicta virus 17,1,0
DWV,SINV-17,Deformed wing virus, Solenopsis invicta virus 17,1,0
EoV,SINV-17,Ectropis obliqua virus, Solenopsis invicta virus 17,1,0
MoV-A1,SINV-17,Mosavirus A1, Solenopsis invicta virus 17,1,0
ERAV,SINV-17,Equine rhinitis B virus 1, Solenopsis invicta virus 17,1,0
FEX-1,SINV-17,Formica exsecta virus 1, Solenopsis invicta virus 17,1,0
DcPV,SINV-17,Dinocampus coccinellae paralysis virus, Solenopsis invicta virus 17,0.99,0.01
SBPV,SINV-17,Slow bee paralysis virus, Solenopsis invicta virus 17,0.99,0.01
LdIV-1,SINV-17,Lymantria dispar iflavirus 1, Solenopsis invicta virus 17,0.99,0.01
HPeV-1,SINV-17,Human parechovirus 1, Solenopsis invicta virus 17,0.99,0.01
AoV-3,SINV-17,Putative A. octoarticulatus virus 1 (g2275 i0), Solenopsis invicta virus 17,0.99,0.01
IAPV,SINV-17,Israeli acute paralysis virus, Solenopsis invicta virus 17,0.99,0.01
PEV-8,SINV-17,Porcine enterovirus 8, Solenopsis invicta virus 17,0.99,0.01
EPV-1,SINV-17,Eel picornavirus 1, Solenopsis invicta virus 17,0.99,0.01
NIHV-2,SINV-17,Nilaparvata lugens honeydew virus-2, Solenopsis invicta virus 17,0.99,0.01
BatPI,SINV-17,Bat picornavirus, Solenopsis invicta virus 17,0.99,0.01
ALPV,SINV-17,Aphid lethal paralysis virus, Solenopsis invicta virus 17,0.99,0.01
SINV-16,CPDV, Solenopsis invicta virus 16,Canine picodicistrovirus,0.99,0.01
KuV-A1,SINV-17,Kunsagivirus A1, Solenopsis invicta virus 17,0.99,0.01
TplV-1,SINV-17,Thaumetopoea pityocampa iflavirus 1, Solenopsis invicta virus 17,0.99,0.01
BHuV-1,SINV-17,Bovine hungarovirus 1, Solenopsis invicta virus 17,0.99,0.01
OsV-A1,SINV-17,Oscivirus A1, Solenopsis invicta virus 17,0.99,0.01
KBV,SINV-17,Kashmir bee virus, Solenopsis invicta virus 17,0.99,0.01
ABPV,SINV-17,Acute bee paralysis virus, Solenopsis invicta virus 17,0.99,0.01
SiV-A,SINV-17,Sicinivirus A, Solenopsis invicta virus 17,0.99,0.01
AoV-7,SINV-17,Putative A. octoarticulatus virus 6 (g3684 i0), Solenopsis invicta virus 17,0.99,0.01
SINV-1,SINV-17,Solenopsis invicta virus 1, Solenopsis invicta virus 17,0.99,0.01
FeV-2,SINV-17,Formica exsecta virus 2, Solenopsis invicta virus 17,0.99,0.01
AoV-4,SINV-17,Putative A. octoarticulatus virus 2 (g5994 i0), Solenopsis invicta virus 17,0.99,0.01
OilV-1,SINV-17,Osiphanes invirae iflavirus 1, Solenopsis invicta virus 17,0.99,0.01
CV-A1,SINV-17,Cardiovirus A1, Solenopsis invicta virus 17,0.99,0.01
LHUV-1,SINV-17,Linepithema humile virus 1, Solenopsis invicta virus 17,0.99,0.01
PasV-A1,SINV-17,Passerivirus A1, Solenopsis invicta virus 17,0.99,0.01
GaV-A1,SINV-17,Gallivirus A1, Solenopsis invicta virus 17,0.99,0.01
SINV-16,CV-A1, Solenopsis invicta virus 16,Cardiovirus A1,0.99,0.01
THV-2993D,SINV-17,Turkey hepatitis virus 2993D, Solenopsis invicta virus 17,0.99,0.01
SINV-16,SINV-17, Solenopsis invicta virus 16, Solenopsis invicta virus 17,0.99,0.01
POLIO1A,SINV-17,Human poliovirus 1 Mahoney, Solenopsis invicta virus 17,0.99,0.01
AoV-2,SINV-17,Putative A. octoarticulatus virus 3 (g6982 i4), Solenopsis invicta virus 17,0.99,0.01
AoV-5,SINV-17,Putative A. octoarticulatus virus 4 (g1894 i0), Solenopsis invicta virus 17,0.99,0.01
HAV,SINV-17,Hepatovirus A, Solenopsis invicta virus 17,0.99,0.01
ApIV,SINV-17,Antheraea pernyi iflavirus, Solenopsis invicta virus 17,0.99,0.01
CPDV,SINV-17,Canine picodicistrovirus, Solenopsis invicta virus 17,0.99,0.01
OilV-1,CPDV,Osiphanes invirae iflavirus 1,Canine picodicistrovirus,0.99,0.01
CosV-A1,SINV-17,Cosavirus A1, Solenopsis invicta virus 17,0.99,0.01
OilV-1,FMDV-O1K,Osiphanes invirae iflavirus 1,Foot and mouth disease virus,0.99,0.01
OilV-1,ERAV,Osiphanes invirae iflavirus 1,Equine rhinitis B virus 1,0.99,0.01
CPMV,FSak1,Cowpea mosaic virus,Feline sakobuvirus A,0.99,0.01
OilV-1,CV-A1,Osiphanes invirae iflavirus 1,Cardiovirus A1,0.99,0.01
MSPV-1,SINV-17,Miniopterus schreibersii picornavirus 1, Solenopsis invicta virus 17,0.99,0.01
OilV-1,AoV-8,Osiphanes invirae iflavirus 1,Putative A. octoarticulatus virus 7 (g3814 i0),0.99,0.01
AoV-8,FMDV-O1K,Putative A. octoarticulatus virus 7 (g3814 i0),Foot and mouth disease virus,0.99,0.01
FSak1,SINV-17,Feline sakobuvirus A, Solenopsis invicta virus 17,0.99,0.01
DcPV,PaV-1,Dinocampus coccinellae paralysis virus,Pasivirus A1,0.99,0.01
OilV-1,PEV-8,Osiphanes invirae iflavirus 1,Porcine enterovirus 8,0.99,0.01
SINV-16,THV-2993D, Solenopsis invicta virus 16,Turkey hepatitis virus 2993D,0.99,0.01
SenV-A1,SINV-17,Senecavirus A1, Solenopsis invicta virus 17,0.99,0.01
SINV-16,MSPV-1, Solenopsis invicta virus 16,Miniopterus schreibersii picornavirus 1,0.99,0.01
BQCV,MSPV-1,Black queen cell virus,Miniopterus schreibersii picornavirus 1,0.99,0.01
OilV-1,BHuV-1,Osiphanes invirae iflavirus 1,Bovine hungarovirus 1,0.99,0.01
AoV-8,BHuV-1,Putative A. octoarticulatus virus 7 (g3814 i0),Bovine hungarovirus 1,0.99,0.01
SINV-11,CPDV, Solenopsis invicta virus 11,Canine picodicistrovirus,0.99,0.01
SBPV,POLIO1A,Slow bee paralysis virus,Human poliovirus 1 Mahoney,0.99,0.01
SEIV-1,ERAV,Spodoptera exigua iflavirus 1,Equine rhinitis B virus 1,0.99,0.01
CRLV,AiV-1,Cherry rasp leaf virus,Aichi virus 1,0.99,0.01
